Occupation,education,income,women,prestige,census,type
gov.administrators,13.11,13351,11.16,78.8,1113,prof
general.managers,12.26,26879,4.02,79.1,1130,prof
accountants,12.77,10271,15.7,73.4,1171,prof
purchasing.officers,11.42,9865,9.11,66.8,1175,prof
chemists,14.62,9403,11.68,83.5,2111,prof
physicists,15.64,12030,5.13,87.6,2113,prof
biologists,15.09,9258,25.65,82.6,2133,prof
architects,15.44,15163,2.69,88.1,2141,prof
civil.engineers,14.52,12377,1.03,83.1,2143,prof
mining.engineers,14.64,12023,0.94,78.8,2153,prof
surveyors,12.39,6902,1.91,72,2161,prof
draughtsmen,12.3,8059,7.83,70,2163,prof
computer.programers,13.83,9425,15.33,63.8,2183,prof
economists,14.44,9049,57.31,72.2,2311,prof
psychologists,14.36,8405,48.28,84.9,2315,prof
social.workers,14.21,7336,54.77,65.1,2331,prof
lawyers,15.77,20263,5.13,92.3,2343,prof
librarians,14.15,7112,77.1,68.1,2351,prof
vocational.counsellors,15.22,10593,34.89,68.3,2391,prof
ministers,14.5,5686,4.14,82.8,2511,prof
university.teachers,15.97,13480,19.59,94.6,2711,prof
primary.school.teachers,13.62,6648,83.78,69.6,2731,prof
secondary.school.teachers,15.08,9034,46.8,76.1,2733,prof
physicians,15.96,26308,10.56,97.2,3111,prof
veterinarians,15.94,15558,4.32,76.7,3115,prof
osteopaths.chiropractors,14.71,18498,6.91,78.4,3117,prof
nurses,12.46,5614,96.12,74.7,3131,prof
nursing.aides,9.45,4485,76.14,44.9,3135,bc
physio.therapsts,13.62,6092,82.66,82.1,3137,prof
pharmacists,15.21,11432,24.71,79.3,3151,prof
medical.technicians,12.79,6180,76.04,77.5,3156,wc
commercial.artists,11.09,7197,21.03,67.2,3314,prof
radio.tv.announcers,12.71,8562,11.15,67.6,3337,wc
athletes,11.44,9206,8.13,64.1,3373,NA
secretaries,11.59,5036,97.51,56,4111,wc
typists,11.49,4148,95.97,51.9,4113,wc
bookkeepers,11.32,5348,68.24,59.4,4131,wc
tellers.cashiers,10.64,3448,91.76,52.3,4133,wc
computer.operators,11.36,5330,75.92,57.7,4143,wc
shipping.clerks,9.17,5761,11.37,40.9,4153,wc
file.clerks,12.09,4016,83.19,42.7,4161,wc
receptionsts,11.04,3901,92.86,48.7,4171,wc
mail.carriers,9.22,6511,7.62,46.1,4172,wc
postal.clerks,10.07,4739,52.27,47.2,4173,wc
telephone.operators,10.51,4161,96.14,48.1,4175,wc
collectors,11.2,5741,47.06,39.4,4191,wc
claim.adjustors,11.13,6052,56.1,61.1,4192,wc
travel.clerks,11.43,7259,39.17,45.7,4193,wc
office.clerks,11,5075,63.23,45.6,4197,wc
sales.supervisors,9.84,8482,17.04,51.5,5130,wc
commercial.travellers,11.13,9780,3.16,50.2,5133,wc
sales.clerks,10.05,3594,67.82,36.5,5137,wc
newsboys,9.62,1918,7,24.8,5143,NA
service.station.attendant,9.93,3370,3.69,33.3,5145,bc
insurance.agents,11.6,9131,13.09,57.3,5171,wc
real.estate.salesmen,11.09,7992,24.44,57.1,5172,wc
buyers,11.03,8956,23.88,61.1,5191,wc
firefighters,9.47,9895,0,53.5,6111,bc
policemen,10.93,9891,1.65,61.6,6112,bc
cooks,7.74,4116,52,39.7,6121,bc
bartenders,8.5,4930,15.51,30.2,6123,bc
funeral.directors,10.57,8869,6.01,64.9,6141,bc
babysitters,9.46,1611,96.53,35.9,6147,NA
launderers,7.33,4000,69.31,30.8,6162,bc
janitors,7.11,4472,33.57,27.3,6191,bc
elevator.operators,7.58,4582,30.08,30.1,6193,bc
farmers,6.84,4643,3.6,54.1,7112,NA
farm.workers,8.6,2656,27.75,31.5,7182,bc
rotary.well.drillers,8.88,7860,0,45.3,7711,bc
bakers,7.54,5199,33.3,48.9,8213,bc
slaughterers.1,7.64,6134,17.26,35.2,8215,bc
slaughterers.2,7.64,6134,17.26,44.8,8215,bc
canners,7.42,2890,72.24,33.2,8221,bc
textile.weavers,6.69,5443,31.36,43.3,8267,bc
textile.labourers,6.74,4485,39.48,38.8,8278,bc
tool.die.makers,10.09,9043,1.5,52.5,8311,bc
machinists,8.81,7686,4.28,54.2,8313,bc
sheet.metal.workers,8.4,7565,2.3,45.9,8333,bc
welders,7.92,7477,5.17,51.8,8335,bc
auto.workers,8.43,6811,13.62,45.9,8513,bc
aircraft.workers,8.78,7573,5.78,53.7,8515,bc
electronic.workers,8.76,4942,74.54,60.8,8534,bc
radio.tv.repairmen,10.29,6449,2.92,47.2,8537,bc
sewing.mach.operators,6.38,3847,90.67,38.2,8563,bc
auto.repairmen,8.1,6795,0.81,48.1,8581,bc
aircraft.repairmen,10.1,8716,0.78,60.3,8582,bc
railway.sectionmen,6.67,5696,0,37.3,8715,bc
electrical.linemen,9.05,9316,1.34,50.9,8731,bc
electricians,9.93,8147,0.99,60.2,8733,bc
construction.foremen,8.24,9880,0.65,61.1,8780,bc
carpenters,6.92,6299,0.56,48.9,8781,bc
masons,6.6,6959,0.52,46.2,8782,bc
house.painters,7.81,5549,2.46,39.9,8785,bc
plumbers,8.33,7928,0.61,52.9,8791,bc
construction.labourers,7.52,4910,1.09,36.5,8798,bc
pilots,12.27,15032,0.58,76.1,9111,prof
train.engineers,8.49,9845,0,58.9,9131,bc
bus.drivers,7.58,6562,9.47,45.9,9171,bc
taxi.drivers,7.93,5224,3.59,35.1,9173,bc
longshoremen,8.37,5753,0,36.1,9313,bc
typesetters,10,7462,13.58,52.2,9511,bc
bookbinders,8.55,4617,70.87,45.2,9517,bc
